"oDyy5iUVq7U","b'\xe2\x80\x9cI Will Teach You EXACTLY How To Do It\xe2\x80\x9d'",2023-06-09T14:17:00Z,63239,2871,27
"eZXbMWPJkKQ","b'How To Make Potato Wedges'",2023-06-01T18:30:34Z,929804,36638,26
"9EnDCbVxbis","b'How To CONQUER FEAR'",2023-06-03T14:00:04Z,1672444,146038,1
"nrnac8Br6Cs","b'How To Properly Eat Food'",2023-06-05T17:15:02Z,4098631,277112,20
"3g1SaKt3cx0","b'How To Cut A Watermelon'",2023-05-27T16:30:00Z,3936821,204974,26
"gWH0iVDb0hs","b'TRANSFORMATION INTO POPULAR! How to Achieve the Perfect Hello Kitty-Inspired Look by 123GO! SCHOOL'",2023-06-09T14:00:33Z,35120,271,26
"MqvZaFw1-w0","b'how to draw \xe2\x9c\xa8JUICY\xe2\x9c\xa8 hands'",2023-05-05T13:00:28Z,2903310,333962,26
"1QbLAHhmD7Q","b'How to annoy a bushcrafter \xf0\x9f\x98\x82'",2023-05-05T16:00:01Z,3255234,230933,26
"7qVXSH4mdgs","b'how to draw \xe2\x9c\xa8JUICY\xe2\x9c\xa8 expressions'",2023-06-06T13:04:10Z,1179040,186772,26
"VeLWFT9XGbk","b'How to ROAST Your DUMB KID Using YOUR Questions pt. Idk #comedy #funny #roast #relatable #junior'",2023-06-03T21:22:51Z,960941,61084,20
"faeVbqwPfFs","b'How To SURVIVE A NUCLEAR BLAST?'",2023-06-02T14:00:24Z,2037407,169897,1
"y-BIlFdbo5w","b'How to use a hat pin'",2023-05-22T13:14:16Z,895790,82532,26
"1IrJdm7A08s","b'how to DRESS BETTER | find your style & confidence without spending money *life changing*'",2023-06-02T15:00:01Z,110905,7822,26
"7BD_SHzcbdE","b'How to 3 Star BH10 Challenge in 40 Seconds (Clash of Clans)'",2023-05-27T00:00:02Z,173768,13720,20
"Zj50bOUJ8sA","b'HOW TO TURN INTO Rainbow Friends 2 in Roblox Brookhaven!'",2023-06-06T22:45:32Z,283502,14558,20
"VprNNC6HeFo","b'how to SLAY grad/passport pics\xf0\x9f\x92\x85 #pose #shorts'",2023-05-23T19:00:05Z,4609778,213516,22
"-rkKWDWEr6E","b"How To 'BACKFLIP' In 5 SIMPLE Steps"",2023-05-13T19:26:55Z,242204,13572,22
"LOcs_8h669s","b'How to Get Max Battery Cells in 1 Hour (Zelda)'",2023-05-25T13:33:25Z,687084,42548,20
"3gTo-IsagvM","b'How to catch a gold digger \xf0\x9f\x98\x82'",2023-06-05T22:38:12Z,4127149,271864,24
"hXA6jdtuy0Y","b'How To Dress Better'",2023-06-01T16:46:22Z,338658,21784,26
"um7UJgD3sv4","b'How to Identify a Narcissist from Conversation'",2023-06-05T21:00:23Z,16194,813,24
"QkvTTscn3Xw","b'How To Make Katsu Curry'",2023-05-01T18:30:18Z,1065896,61397,26
"Hss3s15sEQQ","b'how to draw a padlock \xf0\x9f\x98\xb3\xf0\x9f\x98\xb1\xf0\x9f\x94\xa5 #josuaas24 #art #drawing #shorts'",2023-05-28T11:55:17Z,4485531,26
"ReRVUJiEq7U","b'how to draw \xe2\x9c\xa8JUICY\xe2\x9c\xa8 kitten'",2023-05-12T14:29:06Z,2194403,274167,26
"9GYOqzCybmI","b'How To Be Cute in 5 Easy Steps'",2023-05-27T14:00:08Z,179656,17388,1
"vDPHg-IrBeU","b'\xf0\x9f\xa4\xa3 How to get ROBUX in PLS DONATE.. #shorts #roblox'",2023-05-25T02:24:27Z,749381,41189,20
"TGHaNo_81lk","b'How to Make A Rude Person Immediately Regret Insulting You'",2023-06-05T17:55:00Z,439111,15082,26
"yT1mrp7sY-E","b'YOU DONT KNOW HOW TO COOK? @ChefRush @albert_cancook'",2023-06-02T19:55:06Z,26843641,1517948,24
"UrDqhBjLP4w","b'How To Unf*ck Your Life'",2023-05-08T14:43:31Z,625309,44540,27
"eLBrjmr4fQE","b'How to draw fish with Magic  pen #shorts'",2023-05-19T11:00:26Z,125956497,3526732,22
"nzXTyictZUY","b'How to Defeat a MOLDUGA in Tears of the Kingdom!'",2023-05-23T21:56:51Z,190247,13325,20
"3loTQ4pRR04","b'how to GLOW UP for summer 2023 | healthy habits, beauty hacks, mindset shifts & success secrets'",2023-05-28T16:31:13Z,427202,32183,26
"2fHPR1been0","b'Tutorial how to become a \xf0\x9f\x92\x80'",2023-05-12T15:00:03Z,603933,40072,24
"IQCwy__yvJ8","b'\xe0\xa4\x90\xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\xb2\xe0\xa5\x8b \xe0\xa4\xa6\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa5\x87\xe0\xa4\x97\xe0\xa5\x80 | Communication Skills Tips: How to Talk to ANYONE | Deepak Daiya'",2023-05-09T14:02:33Z,122420,9638,27
"h70GdtAkEOw","b'How To Eat Soup Dumplings (Without Scalding Yourself)'",2023-06-05T17:35:28Z,2982714,162947,26
"4W9pdDs-fio","b'\xf0\x9f\x94\xb4 LIVE | Mommy Learns How to Take Care of Baby with Baby Lycan @LYCANArabic'",2023-05-04T07:46:55Z,7054156,34233,27
"2aTKpV-1l2w","b'how to rizz a robot #shorts'",2023-05-04T01:08:00Z,20954402,23
"1QnU0FmPjGY","b'How to be HOT'",2023-05-21T08:00:02Z,79830,5444,26
"ahn1y_DlEmk","b'How to fly with a Gun \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x94\xab'",2023-05-28T19:39:34Z,31945594,1900350,24
"gyCPMiqUc28","b'How To Decorate Big Empty Walls in Minecraft'",2023-05-18T18:02:39Z,1619677,228206,20
"X9Rtg0KFjYY","b'How to Fasten Hair Growth\xf0\x9f\x91\xb1\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f#dailyshorts #hairgrowth #haircare #hairfall #mensfashion #styletips'",2023-06-04T08:31:34Z,1359050,108539,22
"BxX767BGhRw","b'How To Make An Affiliate Marketing Website ~ 2023 ~ Make $21,000 A Month Passive Income'",2023-05-07T17:39:30Z,58560,3446,26
"tX4eP5QSTsE","b'Drinking The 90s | How to Drink'",2023-06-07T15:31:10Z,253721,8567,26
"xFUHhz1l3Dw","b'How to Sneak Makeup \xf0\x9f\x92\x84\xf0\x9f\x98\x82 #shorts'",2023-05-25T08:27:51Z,4427165,74755,24
"4xQa-9wsSqA","b'How to Remove Tanning \xf0\x9f\x94\xa5 #shorts'",2023-05-04T04:28:26Z,840449,84930,22
"6jtg-3FN6FE","b'HOW TO Pick Up a Puppy Properly'",2023-05-16T23:47:21Z,27555300,1367078,15
"f2gD_l54Y2o","b'How to Get HUGE QUOKKA!! (Pet Simulator X)'",2023-06-08T00:34:44Z,68757,3253,20
"Bz3uUH0PgF4","b'How to fix thin dreads #dreads #locs'",2023-05-21T01:44:57Z,1966405,111881,26
"n5zpM3KfFZU","b"how to be ' that guy '"",2023-06-04T12:43:42Z,128189,6468,22
"RJKFH82C9nk","b'Who Died: June 2023 Week 1 | News'",2023-06-09T14:52:11Z,612520,9427,25
"I1HggcfnHpo","b"Woman accuses man in electric car of 'polluting' the air: 'Lefties Losing It'"",2023-06-09T11:32:26Z,445818,16772,25
